CUE,CUI,Establecimiento,Departamento,Ambito
700021200,PROV0901,"Nocturna Ricardo Balbín","9 DE JULIO",PUBLICO
700021201,7000227,"Anexo Nocturna Doctor Ricardo Balbín","9 DE JULIO",PUBLICO
700021300,7000229,"Escuela Primaria Esteban De Luca","9 DE JULIO",PUBLICO
700021400,7000226,"Escuela Primaria Eusebio Segundo Zapata","9 DE JULIO",PUBLICO
700021500,PROV0901,"Escuela Educación Especial Juana Azurduy De Padilla","9 DE JULIO",PUBLICO
700021600,7000225,"Agrotécnica Prof. Ana Pérez Ciani","9 DE JULIO",PUBLICO
700039400,7000228,"Escuela Primaria Procesa Sarmiento De Lenoir","9 DE JULIO",PUBLICO
700039500,7000227,"Escuela Primaria Doctor Luis Agote","9 DE JULIO",PUBLICO
700056500,7000230,"Escuela Primaria Granaderos De San Martín","9 DE JULIO",PUBLICO
700066801,7000227,"Anexo Escuela Técnica Capacitación Laboral Domingo Matheu","9 DE JULIO",PUBLICO
700073700,7000230,"Escuela Técnica Capacitación Laboral Jorge Humberto Yacante","9 DE JULIO",PUBLICO
700089100,7000228,"Escuela Secundaria Procesa Sarmiento De Lenoir","9 DE JULIO",PUBLICO
700097500,7000230,"C.E.N.S. Jorge H. Yacante","9 DE JULIO",PUBLICO
700103000,7000226,"J.I.N.Z. Nº 32 Sede Escuela Primaria Eusebio Segundo Zapata","9 DE JULIO",PUBLICO
700103003,7000229,"J.I.N.Z. Nº 32 Anexo Escuela Primaria Esteban De Luca","9 DE JULIO",PUBLICO
700103004,7000227,"J.I.N.Z. Nº 32 Anexo Escuela Primaria Dr. Luis Agote","9 DE JULIO",PUBLICO
700103005,7000228,"J.I.N.Z. Nº 32 Anexo Escuela Primaria Procesa Sarmiento De Lenoir","9 DE JULIO",PUBLICO
700104600,7000230,"E.N.I. Nº 66 Pequeños Granaderos","9 DE JULIO",PUBLICO
700112700,7000227,"C.E.N.S. Las Chacritas","9 DE JULIO",PUBLICO
700002800,7050028,"Escuela Secundario General Don Toribio De Luzuriaga",ALBARDON,PUBLICO
700005600,7000003,"C.E.N.S. 249 César Hermógenes Guerrero",ALBARDON,PUBLICO
700005700,7000011,"Escuela Primaria Adán Quiroga",ALBARDON,PUBLICO
700005800,7000012,"Escuela Primaria Benita Dávila De De Los Ríos",ALBARDON,PUBLICO
700032900,7000009,"Escuela Primaria Vicente López Y Planes",ALBARDON,PUBLICO
700033000,7000015,"Escuela Primaria Camilo Rojo",ALBARDON,PUBLICO
700033100,7000016,"E.P.E.T. Nº 1 Albardon",ALBARDON,PUBLICO
700037600,7000006,"Escuela Primaria Vicecomodoro Gustavo Marambio",ALBARDON,PUBLICO
700037700,7000007,"Escuela Primaria José María Paz",ALBARDON,PUBLICO
700037800,7000003,"Escuela Primaria Juan Mantovani",ALBARDON,PUBLICO
700038000,7000001,"Nocturna Juan E. Seru",ALBARDON,PUBLICO
700038100,7000001,"Escuela Primaria Villicúm",ALBARDON,PUBLICO
